t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
304834.799,-0.966,0.086,-0.110,0.216,70,73,55,72,20,0,39,51,0,0.000,0,0,375.847,1.987,1.140,-375.820,-4.320,0.321,-0.049,1.170,1.280,-1.520,1.920,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.068,14.455,24.361,-7.068,14.455,24.361
304839.799,-0.964,0.089,-0.125,0.215,86,93,48,69,31,0,47,28,0,0.000,0,0,363.599,1.907,-11.140,-363.380,-5.920,0.342,-0.063,1.131,0.974,-1.640,1.920,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.081,16.255,24.098,-7.081,16.255,24.098
304844.799,-0.963,0.091,-0.140,0.213,83,97,67,63,10,0,43,40,0,0.000,0,0,355.110,2.003,-26.020,-354.100,-6.280,0.388,-0.083,1.075,0.974,-1.750,1.604,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-7.027,18.008,23.838,-7.027,18.008,23.838
304849.799,-0.961,0.093,-0.155,0.211,50,77,61,31,37,6,61,23,0,0.000,0,0,351.315,2.139,-38.540,-349.100,-8.120,0.425,-0.096,1.032,1.224,-1.754,1.202,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.920,19.736,23.572,-6.920,19.736,23.572
304854.799,-0.958,0.094,-0.170,0.209,75,69,49,58,17,0,33,41,0,0.000,0,0,349.731,2.168,-49.760,-346.040,-9.580,0.444,-0.092,1.006,1.274,-1.754,0.924,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.766,21.448,23.301,-6.766,21.448,23.301
304859.800,-0.956,0.095,-0.185,0.206,87,90,55,73,33,0,46,24,0,0.000,0,0,348.784,2.121,-58.980,-343.540,-12.320,0.453,-0.089,0.984,1.274,-1.696,0.782,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.578,23.148,23.019,-6.578,23.148,23.019
304864.799,-0.954,0.095,-0.200,0.204,51,75,89,53,20,0,67,46,0,0.000,0,0,347.697,2.016,-65.460,-341.100,-16.100,0.451,-0.093,0.960,1.090,-1.696,0.638,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.371,24.833,22.721,-6.371,24.833,22.721
304869.799,-0.951,0.096,-0.214,0.201,69,103,57,55,43,0,59,20,0,0.000,0,0,344.896,1.963,-70.940,-336.880,-20.800,0.446,-0.104,0.941,0.862,-1.764,0.426,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-6.154,26.496,22.402,-6.154,26.496,22.402
304874.799,-0.948,0.095,-0.229,0.198,81,67,57,71,10,0,29,39,0,0.000,0,0,339.957,2.014,-80.100,-329.380,-25.760,0.442,-0.117,0.921,0.638,-1.910,0.236,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.909,28.121,22.063,-5.909,28.121,22.063
304879.799,-0.946,0.095,-0.243,0.194,79,86,60,69,21,0,39,55,0,0.000,0,0,335.226,2.110,-89.740,-321.500,-31.000,0.442,-0.142,0.899,0.440,-2.064,0.032,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.634,29.705,21.702,-5.634,29.705,21.702
304884.799,-0.943,0.094,-0.256,0.190,87,88,53,33,39,12,49,13,0,0.000,0,0,329.038,2.314,-95.920,-312.660,-36.180,0.454,-0.158,0.879,0.344,-2.288,-0.180,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,-5.348,31.244,21.320,-5.348,31.244,21.320
