t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs,L_roll,L_pitch,L_yaw,L_relativeRoll,L_relativePitch,L_relativeYaw
11860.811,1.000,0.018,-0.002,0.003,55,71,61,38,49,5,61,23,0,0.000,0,0,39.668,1.036,-3.400,6.520,-38.980,-0.008,-0.041,1.021,-0.972,0.358,0.080,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.043,-0.240,-0.326,2.043,-0.240,-0.326
11865.811,1.000,0.018,-0.002,0.005,85,75,87,71,25,4,55,53,0,0.000,0,0,41.473,0.059,5.260,-7.220,-40.500,0.262,-0.104,0.957,-0.040,-0.044,-0.084,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.025,-0.171,-0.526,2.025,-0.171,-0.526
11870.811,1.000,0.018,-0.001,0.006,77,91,57,77,38,0,44,19,0,0.000,0,0,28.400,2.680,1.060,-1.060,-28.360,0.431,-0.102,1.030,2.588,-0.696,0.178,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.027,-0.117,-0.667,2.027,-0.117,-0.667
11875.811,1.000,0.018,-0.001,0.006,93,102,55,71,40,1,42,31,0,0.000,0,0,14.662,2.686,0.620,5.780,-13.460,0.154,-0.117,1.018,2.588,-0.720,0.172,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.046,-0.105,-0.734,2.046,-0.105,-0.734
11880.811,1.000,0.018,-0.001,0.006,79,93,59,39,40,6,73,21,0,0.000,0,0,11.322,1.727,-2.060,0.540,11.120,0.014,-0.272,0.994,1.522,-0.816,0.172,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.120,-0.103,-0.679,2.120,-0.103,-0.679
11885.811,1.000,0.019,-0.001,0.004,123,102,54,74,19,0,39,43,0,0.000,0,0,34.687,2.245,-0.040,-0.680,34.680,-0.042,-0.264,0.942,0.124,-2.242,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.154,-0.112,-0.505,2.154,-0.112,-0.505
11890.811,1.000,0.019,-0.001,0.003,75,75,57,73,30,0,45,42,0,0.000,0,0,37.262,2.281,2.640,-7.520,36.400,-0.098,-0.103,1.032,-0.418,-2.242,0.002,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.148,-0.091,-0.323,2.148,-0.091,-0.323
11895.813,1.000,0.018,-0.001,0.002,87,77,92,76,27,0,61,57,0,0.000,0,0,17.110,1.132,2.520,-0.320,16.920,-0.119,0.068,1.021,-0.944,-0.624,0.140,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.108,-0.123,-0.239,2.108,-0.123,-0.239
11900.811,1.000,0.018,-0.001,0.002,53,93,63,45,59,9,61,11,0,0.000,0,0,3.435,1.400,2.340,-2.460,-0.520,-0.075,0.111,1.002,-0.944,1.034,0.140,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.053,-0.130,-0.239,2.053,-0.130,-0.239
11905.811,1.000,0.018,-0.001,0.002,55,68,103,61,18,5,64,44,0,0.000,0,0,12.649,1.424,-1.820,-11.920,-3.820,-0.042,0.090,1.039,-0.704,1.238,0.140,0.000,0.000,0.000,0.000,0,0,0,0,7,255,0,250,0,0,2.029,-0.079,-0.257,2.029,-0.079,-0.257
